#,Company,Symbol,Weight,      Price,Chg,% Chg
110,General Motors Company,GM,0.19594,   58.76,0,0.00%
111,Activision Blizzard Inc.,ATVI,0.195261,   92.50,0.12,-0.13%
112,Truist Financial Corporation,TFC,0.195123,   55.21,0,0.00%
113,Chubb Limited,CB,0.194411,   162.73,0,0.00%
114,CSX Corporation,CSX,0.193524,   31.81,-0.02,(-0.06%)
115,Colgate-Palmolive Company,CL,0.190958,   82.43,0,0.00%
116,Illumina Inc.,ILMN,0.18872,   476.80,0,0.00%
117,Capital One Financial Corporation,COF,0.188463,   160.55,0,0.00%
118,Edwards Lifesciences Corporation,EW,0.184812,   107.51,0,0.00%
119,Intercontinental Exchange Inc.,ICE,0.181271,   118.97,0,0.00%
120,Sherwin-Williams Company,SHW,0.178967,   276.22,0,0.00%
121,Southern Company,SO,0.177766,   61.47,0,0.00%
122,Autodesk Inc.,ADSK,0.17714,   295.50,0.12,-0.04%
123,Illinois Tool Works Inc.,ITW,0.176272,   227.38,0,0.00%
124,Fiserv Inc.,FISV,0.175447,   108.58,-0.36,(-0.33%)
125,Norfolk Southern Corporation,NSC,0.174699,   263.64,0,0.00%
126,Air Products and Chemicals Inc.,APD,0.17379,   291.67,0,0.00%
127,Boston Scientific Corporation,BSX,0.168023,   43.59,0,0.00%
128,Dominion Energy Inc,D,0.167249,   75.55,0,0.00%
129,Regeneron Pharmaceuticals Inc.,REGN,0.165574,   574.01,-6.39,(-1.10%)
130,Analog Devices Inc.,ADI,0.165397,   166.30,0.03,-0.02%
131,Moody's Corporation,MCO,0.164801,   375.59,0,0.00%
132,Eaton Corp. Plc,ETN,0.16398,   153.56,0,0.00%
133,Humana Inc.,HUM,0.160212,   455.65,0,0.00%
134,Progressive Corporation,PGR,0.157682,   99.63,0,0.00%
135,Emerson Electric Co.,EMR,0.157615,   97.61,0,0.00%
136,HCA Healthcare Inc,HCA,0.155196,   218.79,0,0.00%
137,IDEXX Laboratories Inc.,IDXX,0.154203,   667.50,0.47,-0.07%
138,Biogen Inc.,BIIB,0.152134,   359.90,1.74,-0.49%
139,Global Payments Inc.,GPN,0.151931,   190.37,0,0.00%
140,Northrop Grumman Corporation,NOC,0.15161,   371.82,0,0.00%
141,Waste Management Inc.,WM,0.151397,   143.04,0,0.00%
142,Ford Motor Company,F,0.150312,   14.48,0,0.00%
143,NXP Semiconductors NV,NXPI,0.148488,   200.50,0.15,-0.07%
144,Twitter Inc.,TWTR,0.145909,   68.97,0,0.00%
145,Aon Plc Class A,AON,0.145396,   236.31,0,0.00%
146,Ecolab Inc.,ECL,0.142759,   212.76,0,0.00%
147,Dollar General Corporation,DG,0.142049,   220.77,0,0.00%
148,Vertex Pharmaceuticals Incorporated,VRTX,0.140611,   198.50,0.34,-0.17%
149,Freeport-McMoRan Inc.,FCX,0.138307,   36.50,0,0.00%
150,Newmont Corporation,NEM,0.137401,   63.98,0,0.00%
151,Roper Technologies Inc.,ROP,0.136433,   481.18,0,0.00%
152,Johnson Controls International plc,JCI,0.135755,   70.06,0,0.00%
153,IQVIA Holdings Inc,IQV,0.130194,   251.16,0,0.00%
154,KLA Corporation,KLAC,0.127711,   309.25,0.49,-0.16%
155,Public Storage,PSA,0.127692,   311.68,0,0.00%
156,EOG Resources Inc.,EOG,0.127536,   82.59,0,0.00%
157,Dow Inc.,DOW,0.125165,   63.08,0,0.00%
158,Kimberly-Clark Corporation,KMB,0.125098,   135.02,0,0.00%
159,MSCI Inc. Class A,MSCI,0.12505,   560.23,0,0.00%
160,L3Harris Technologies Inc,LHX,0.125001,   223.99,0,0.00%
161,T. Rowe Price Group,TROW,0.124194,   205.20,0,0.00%
162,Agilent Technologies Inc.,A,0.124044,   150.03,0,0.00%
163,TE Connectivity Ltd.,TEL,0.122228,   138.00,0,0.00%
164,Trane Technologies plc,TT,0.122135,   190.32,0,0.00%
165,Align Technology Inc.,ALGN,0.121476,   615.01,-12.18,(-1.94%)
166,eBay Inc.,EBAY,0.121395,   69.68,0.22,-0.32%
167,Chipotle Mexican Grill Inc.,CMG,0.121312,"   1,591.02",-1.23,(-0.08%)
168,Exelon Corporation,EXC,0.120004,   45.06,0.15,-0.33%
169,General Dynamics Corporation,GD,0.119231,   190.22,0,0.00%
170,Digital Realty Trust Inc.,DLR,0.118763,   155.76,0,0.00%
171,Ross Stores Inc.,ROST,0.118497,   124.70,-0.07,(-0.06%)
172,DexCom Inc.,DXCM,0.117601,   441.21,0.48,-0.11%
173,Schlumberger NV,SLB,0.116759,   31.19,0,0.00%
174,MetLife Inc.,MET,0.116547,   58.86,0,0.00%
175,IHS Markit Ltd.,INFO,0.116375,   113.52,0,0.00%
176,Synopsys Inc.,SNPS,0.116237,   278.02,-2.73,(-0.97%)
177,American Electric Power Company Inc.,AEP,0.115903,   85.45,0.06,-0.06%
178,Centene Corporation,CNC,0.115601,   73.51,0,0.00%
179,Sempra Energy,SRE,0.113811,   132.86,0,0.00%
180,Amphenol Corporation Class A,APH,0.113249,   70.31,0,0.00%
181,DuPont de Nemours Inc.,DD,0.112815,   78.48,0,0.00%
182,Simon Property Group Inc.,SPG,0.112414,   129.69,0,0.00%
183,Baxter International Inc.,BAX,0.11236,   80.43,0,0.00%
184,Aptiv PLC,APTV,0.111742,   155.61,0,0.00%
